,company_id,Company,Followers,No_of_Employees ,Industry_copy,Industry
155,cp_156,Gestamp,"8,621,624 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 243,896 on LinkedIn",IT Services and IT Consulting 
156,cp_157,PeopleLogic,"6,556,450 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 300,480 on LinkedIn",IT Services and IT Consulting 
157,cp_158,Thomson Reuters,"22,462 followers",51-200 employees,IT Services and IT Consulting 51-200 employees 95 on LinkedIn,IT Services and IT Consulting 
158,cp_159,Ford Motor Solutions,"190,434 followers","10,001+ employees","Motor Vehicle Manufacturing 10,001+ employees 5,861 on LinkedIn",Motor Vehicle Manufacturing 
159,cp_160,TELUS International AI Data Solutions,"8,561,125 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 320,829 on LinkedIn",IT Services and IT Consulting 
160,cp_161,HP,"137,250 followers","10,001+ employees","Financial Services 10,001+ employees 13,475 on LinkedIn",Financial Services 
161,cp_162,Airtel Payments Bank,"1,288,253 followers","10,001+ employees","Airlines and Aviation 10,001+ employees 72,306 on LinkedIn",Airlines and Aviation 
162,cp_163,Infosys Finacle,"14,684,694 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
163,cp_164,SMC Squared India,"22,080,183 followers","10,001+ employees","Software Development 10,001+ employees 226,686 on LinkedIn",Software Development 
164,cp_165,ManipalCigna Health Insurance Company Ltd.,"1,844,034 followers","10,001+ employees","Pharmaceutical Manufacturing 10,001+ employees 55,458 on LinkedIn",Pharmaceutical Manufacturing 
165,cp_166,Unisys,"352,587 followers","1,001-5,000 employees","Technology, Information and Internet 1,001-5,000 employees 887 on LinkedIn","Technology, Information and Internet "
166,cp_167,Syngene International Limited,"5,686,965 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 166,264 on LinkedIn",IT Services and IT Consulting 
167,cp_168,Volvo Group,"14,684,698 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
168,cp_169,GEP Worldwide,"528,179 followers","10,001+ employees","Manufacturing 10,001+ employees 17,743 on LinkedIn",Manufacturing 
169,cp_170,Premier International,"3,754,493 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 101,571 on LinkedIn",IT Services and IT Consulting 
170,cp_171,SurveySparrow,"250,095 followers","1,001-5,000 employees","E-Learning Providers 1,001-5,000 employees 3,307 on LinkedIn",E-Learning Providers 
171,cp_172,Blenheim Chalcot India,"352,587 followers","1,001-5,000 employees","Technology, Information and Internet 1,001-5,000 employees 887 on LinkedIn","Technology, Information and Internet "
172,cp_173,OYO,"17,295 followers","501-1,000 employees","Environmental Services 501-1,000 employees 290 on LinkedIn",Environmental Services 
173,cp_174,ROYALCHEMICALS,"2,478,138 followers","10,001+ employees","Retail 10,001+ employees 54,092 on LinkedIn",Retail 
174,cp_175,JioSaavn,"176,470 followers",51-200 employees,"Technology, Information and Media 51-200 employees 791 on LinkedIn","Technology, Information and Media "
175,cp_176,Isha Foundation,"59,162 followers",201-500 employees,IT Services and IT Consulting 201-500 employees 440 on LinkedIn,IT Services and IT Consulting 
176,cp_177,Lepton Software,"14,684,709 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
177,cp_178,NICE,"8,561,142 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 320,829 on LinkedIn",IT Services and IT Consulting 
178,cp_179,Hilti India,"340,263 followers","1,001-5,000 employees","Retail 1,001-5,000 employees 3,597 on LinkedIn",Retail 
179,cp_180,Enphase Energy,"117,718 followers","1,001-5,000 employees","Medical Device 1,001-5,000 employees 3,578 on LinkedIn",Medical Device 
180,cp_181,Curefit - house of cult,"377,217 followers","5,001-10,000 employees","Advertising Services 5,001-10,000 employees 6,687 on LinkedIn",Advertising Services 
181,cp_182,Applied Materials,"845,366 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 33,048 on LinkedIn",IT Services and IT Consulting 
182,cp_183,Atlas Copco Group,"101,141 followers",51-200 employees,Software Development 51-200 employees 121 on LinkedIn,Software Development 
183,cp_184,Nayara Energy,"14,684,719 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
184,cp_185,Syngenta,"66,153 followers","1,001-5,000 employees","Business Consulting and Services 1,001-5,000 employees 4,105 on LinkedIn",Business Consulting and Services 
185,cp_186,STEAG Energy Services (India) Pvt. Ltd,"8,679,317 followers","10,001+ employees","Professional Services 10,001+ employees 349,096 on LinkedIn",Professional Services 
186,cp_187,Anblicks,"899,402 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 26,670 on LinkedIn",IT Services and IT Consulting 
187,cp_188,Meine Kuche (I) Pvt. Ltd.,"14,684,724 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
188,cp_189,Intozi,"68,863 followers","1,001-5,000 employees","Software Development 1,001-5,000 employees 1,494 on LinkedIn",Software Development 
189,cp_190,InfoVision Inc.,NA,NA,NA,NA
190,cp_191,Firstsource,"2,144,368 followers","10,001+ employees","Industrial Machinery Manufacturing 10,001+ employees 72,643 on LinkedIn",Industrial Machinery Manufacturing 
191,cp_192,Dun & Bradstreet Technology and Corporate Services India LLP,"3,754,501 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 101,571 on LinkedIn",IT Services and IT Consulting 
192,cp_193,Mobileum,"966,937 followers","5,001-10,000 employees","E-Learning Providers 5,001-10,000 employees 8,357 on LinkedIn",E-Learning Providers 
193,cp_194,Dover India,"14,684,728 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
194,cp_195,Expert Global Group,"265,054 followers","10,001+ employees","Insurance 10,001+ employees 10,786 on LinkedIn",Insurance 
195,cp_196,Careerfit.ai,"192,831 followers",201-500 employees,"Non-profit Organizations 201-500 employees 2,129 on LinkedIn",Non-profit Organizations 
196,cp_197,Restroworks,"1,794,522 followers","10,001+ employees","Financial Services 10,001+ employees 25,441 on LinkedIn",Financial Services 
197,cp_198,PloPdo,"6,424,392 followers","10,001+ employees","Oil and Gas 10,001+ employees 134,346 on LinkedIn",Oil and Gas 
198,cp_199,Tata Technologies,"2,101,550 followers","10,001+ employees","Electric Power Generation 10,001+ employees 47,184 on LinkedIn",Electric Power Generation 
199,cp_200,Advantmed India LLP,"14,684,736 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
200,cp_201,Kotak Mahindra Bank,"249,265 followers","1,001-5,000 employees","Internet Publishing 1,001-5,000 employees 2,193 on LinkedIn",Internet Publishing 
201,cp_202,Airtel Business,"57,186 followers",201-500 employees,IT Services and IT Consulting 201-500 employees 620 on LinkedIn,IT Services and IT Consulting 
202,cp_203,Fint Solutions,"14,684,739 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
203,cp_204,Mirchi,"836,408 followers","10,001+ employees","Software Development 10,001+ employees 20,308 on LinkedIn",Software Development 
